Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
1991,170 000 - 179 999,Mercedes-Benz,190,sidi_bernoussi,"Voitures, Offre",Diesel,"(nan,)"
2017,95 000 - 99 999,Renault,Clio,6 CV,massira_1,Diesel,"(nan,)"
2008,190 000 - 199 999,Volkswagen,Jetta,8 CV,centre_ville,Diesel,"(93000.0,)"
2012,200 000 - 249 999,Mitsubishi,pajero,guich_oudaya,"Voitures, Offre",Diesel,"(nan,)"
hay_el_fath,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Meubles et Décoration, Offre","(110.0,)"
2017,40 000 - 44 999,Porsche,Panamera,17 CV,belvedere,Essence,"(nan,)"
2002,250 000 - 299 999,Citroen,XSARA,7 CV,"Voitures, Offre",Diesel,"(42000.0,)"
1983,190 000 - 199 999,Renault,12,toute_la_ville,"Voitures, Offre",Essence,"(15000.0,)"
2011,110 000 - 119 999,Volkswagen,GOLF 6,ain_chock,"Voitures, Offre",Diesel,"(nan,)"
2013,160 000 - 169 999,Ford,Focus,centre_ville,"Voitures, Offre",Diesel,"(128500.0,)"
2015,100 000 - 109 999,Renault,Kangoo,6 CV,ain_kadous,Diesel,"(88000.0,)"
2016,45 000 - 49 999,Dacia,Logan,7 CV,sbata,Diesel,"(94000.0,)"
2001,200 000 - 249 999,Fiat,Palio,6 CV,"Voitures, Offre",Essence,"(nan,)"
1994,30 000 - 34 999,Fiat,TIPO,7 CV,"Voitures, Offre",Diesel,"(28000.0,)"
1980 ou plus ancien,50 000 - 54 999,Citroen,DS21,12 CV,"Voitures, Offre",Essence,"(nan,)"
2008,180 000 - 189 999,Mercedes-Benz,Classe C,"Voitures, Offre","
",Diesel,"(134000.0,)"
2010,200 000 - 249 999,Skoda,Octavia,8 CV,"Voitures, Offre",Diesel,"(88000.0,)"
2000,200 000 - 249 999,Renault,Kangoo,7 CV,"Voitures, Offre",Diesel,"(50200.0,)"
maarif,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Business et Affaires commerciales, Offre","(1200000.0,)"
2013,0 - 4 999,Volkswagen,Polo,7 CV,"Voitures, Offre",Essence,"(100000.0,)"
2015,60 000 - 64 999,Hyundai,i 30,7 CV,val_fleuri,Diesel,"(nan,)"
3,"60 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",autre_secteur,"(450000.0,)"
2005,0 - 4 999,Volkswagen,Polo,8 CV,agadir_oufella,Diesel,"(nan,)"
