Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
1986, 15 000 - 19 999,Renault,SUPER 5,4 CV,"Voitures, Offre",Essence,16 000
2012,110 000 - 119 999,Mercedes-Benz,Classe B,7 CV,toute_la_ville,Diesel,"(None,)"
2014,140 000 - 149 999,Hyundai,Santa Fe,9 CV,hay_hassani,Diesel,198 000
2012,130 000 - 139 999,Audi,A1,6 CV,belvedere,Diesel,"(None,)"
belvedere,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",250
1998,180 000 - 189 999,Volkswagen,GOLF 3,8 CV,"Voitures, Offre",Diesel,33 000
1997,200 000 - 249 999,Fiat,Uno,ain_chock,"Voitures, Offre",Essence,25 000
2015,75 000 - 79 999,Peugeot,308,6 CV,autre_secteur,Diesel,"(None,)"
2010,0 - 4 999,Volkswagen,Polo,7 CV,qasbat_ennouar,Essence,90 000
2012,120 000 - 129 999,Mercedes-Benz,Classe C,8 CV,2_mars,Diesel,180 000
2008,140 000 - 149 999,Honda,Accord,13 CV,"Voitures, Offre",Essence,93 000
2008,200 000 - 249 999,Mercedes-Benz,220,el_firdaws,"Voitures, Offre",Diesel,1 550 000
1994,0 - 4 999,Fiat,Punto,"Voitures, Offre","
",Essence,"(None,)"
1991,25 000 - 29 999,Peugeot,205,6 CV,"Voitures, Offre",Essence,23 000
2015,80 000 - 84 999,Hyundai,Elantra,6 CV,ain_mezouar,Diesel,135 000
2014,100 000 - 109 999,Renault,Clio,6 CV,"Voitures, Offre",Diesel,"(None,)"
