Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2002,0 - 4 999,Mitsubishi,canter,"Voitures, Offre","
",Diesel,"([],)"
2000,170 000 - 179 999,Peugeot,306,7 CV,autre_secteur,Diesel,"(['55000', '55', '000', '55000', '55', '000'],)"
2,"130 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",hamria,"(['300', '300', '300', '300'],)"
2015,0 - 4 999,Volkswagen,Touran,6 CV,agadir_oufella,Diesel,"([],)"
2005,150 000 - 159 999,Land Rover,Freelander,8 CV,"Voitures, Offre",Diesel,"(['65000', '65', '000', '65000', '65', '000'],)"
2008,200 000 - 249 999,Mercedes-Benz,270,"Voitures, Offre","
",Diesel,"(['70000', '70', '000', '70000', '70', '000'],)"
2012,75 000 - 79 999,mini,CLUBMAN,6 CV,centre,Diesel,"(['190000', '190', '000', '190000', '190', '000'],)"
2015,50 000 - 54 999,Chevrolet,other,8 CV,yacoub_el_mansour,Diesel,"(['138000', '138', '000', '138000', '138', '000'],)"
2008,10 000 - 14 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,"(['48000', '48', '000', '48000', '48', '000'],)"
2016,95 000 - 99 999,Hyundai,i 10,6 CV,ain_sebaa,Essence,"(['69000', '69', '000', '69000', '69', '000'],)"
2016,40 000 - 44 999,Renault,Megane,6 CV,medina,Diesel,"([],)"
2006,170 000 - 179 999,Peugeot,206,sidi_maarouf,"Voitures, Offre",Diesel,"(['65000', '65', '000', '65000', '65', '000'],)"
6,"152 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",centre_ville,"(['1350000', '1', '350', '000', '1350000', '1', '350', '000'],)"
2015,95 000 - 99 999,Hyundai,Accent,haut_agdal,"Voitures, Offre",Diesel,"([],)"
2015,70 000 - 74 999,Renault,Megane,6 CV,hay_riad,Diesel,"(['138000', '138', '000', '138000', '138', '000'],)"
belvedere,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['200', '200', '200', '200'],)"
2012,200 000 - 249 999,Volkswagen,GOLF 5,8 CV,"Voitures, Offre",Diesel,"([],)"
2011,130 000 - 139 999,Chevrolet,Captiva,polo,"Voitures, Offre",Diesel,"(['113000', '113', '000', '113000', '113', '000'],)"
2014,80 000 - 84 999,Honda,CR-V,9 CV,hay_riad,Diesel,"(['214000', '214', '000', '214000', '214', '000'],)"
1990,150 000 - 159 999,Renault,SUPER 5,oulfa,"Voitures, Offre",Diesel,"(['20000', '20', '000', '20000', '20', '000'],)"
